Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2003,,,,,
Code Ranges 30000 - 32999,,,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
,TOTAL,,"5,032","$903,229.25 ","$713,272.97 "
31288,SG,,922,"$295,678.28 ","$233,070.60 "
,80'S,,1,$44.80 ,$35.84 
,OTHER,,"4,352","$813,174.03 ","$643,314.12 "
,TOTAL,,"5,275","$1,108,897.11 ","$876,420.56 "
31290,80'S,,2,$334.50 ,$267.60 
,OTHER,,109,"$114,684.52 ","$91,630.99 "
,TOTAL,,111,"$115,019.02 ","$91,898.59 "
31291,80'S,,1,$175.34 ,$140.27 
,OTHER,,74,"$80,873.25 ","$64,124.19 "
,TOTAL,,75,"$81,048.59 ","$64,264.46 "
31292,OTHER,,96,"$88,281.41 ","$70,625.13 "
,TOTAL,,96,"$88,281.41 ","$70,625.13 "
31293,80'S,,6,$961.98 ,$769.59 
,OTHER,,75,"$77,291.86 ","$60,769.44 "
,TOTAL,,81,"$78,253.84 ","$61,539.03 "
31294,80'S,,1,$98.52 ,$78.82 
,OTHER,,17,"$19,538.06 ","$15,630.44 "
,TOTAL,,18,"$19,636.58 ","$15,709.26 "
31299,80'S,,1,$128.87 ,$103.10 
,OTHER,,72,"$29,782.16 ","$23,697.83 "
,TOTAL,,73,"$29,911.03 ","$23,800.93 "
31300,SG,,10,"$6,875.89 ","$5,135.31 "
,80'S,,12,"$2,386.16 ","$1,908.92 "
,OTHER,,118,"$124,984.05 ","$99,811.39 "
,TOTAL,,140,"$134,246.10 ","$106,855.62 "
31320,OTHER,,11,"$6,605.25 ","$5,284.20 "
,TOTAL,,11,"$6,605.25 ","$5,284.20 "
31360,80'S,,187,"$39,065.43 ","$30,975.40 "
,OTHER,,715,"$900,747.94 ","$710,789.06 "
,TOTAL,,902,"$939,813.37 ","$741,764.46 "
31365,80'S,,107,"$29,676.66 ","$23,293.94 "
,OTHER,,531,"$905,793.19 ","$720,477.69 "
,TOTAL,,638,"$935,469.85 ","$743,771.63 "
31367,80'S,,10,"$2,644.45 ","$2,115.55 "
,OTHER,,83,"$132,766.97 ","$105,009.31 "
,TOTAL,,93,"$135,411.42 ","$107,124.86 "
31368,80'S,,7,"$2,384.62 ","$1,907.70 "
,OTHER,,68,"$138,057.00 ","$107,003.34 "
,TOTAL,,75,"$140,441.62 ","$108,911.04 "
31370,80'S,,3,$801.21 ,$640.97 
,OTHER,,53,"$86,990.56 ","$69,592.48 "
,TOTAL,,56,"$87,791.77 ","$70,233.45 "
31375,80'S,,8,"$1,954.96 ","$1,563.96 "
,OTHER,,69,"$80,195.81 ","$64,038.81 "
,TOTAL,,77,"$82,150.77 ","$65,602.77 "
31380,80'S,,5,"$1,230.26 ",$984.21 
,OTHER,,40,"$53,919.67 ","$42,113.26 "
,TOTAL,,45,"$55,149.93 ","$43,097.47 "
31382,80'S,,12,"$3,249.20 ","$2,396.27 "
,OTHER,,66,"$109,496.13 ","$86,110.23 "
,TOTAL,,78,"$112,745.33 ","$88,506.50 "
31390,80'S,,12,"$4,084.27 ","$3,267.41 "
,OTHER,,109,"$222,310.92 ","$177,848.77 "
,TOTAL,,121,"$226,395.19 ","$181,116.18 "
31395,80'S,,4,"$1,614.59 ","$1,291.67 "
,OTHER,,89,"$213,579.32 ","$170,800.16 "
,TOTAL,,93,"$215,193.91 ","$172,091.83 "
31400,SG,,1,$410.35 ,$328.28 
,80'S,,7,"$1,039.71 ",$728.48 
,OTHER,,112,"$70,208.67 ","$55,883.38 "
,TOTAL,,120,"$71,658.73 ","$56,940.14 "
31420,SG,,1,$469.37 ,$375.50 
,80'S,,1,$144.18 ,$115.34 
,OTHER,,36,"$29,455.12 ","$23,564.09 "
,TOTAL,,38,"$30,068.67 ","$24,054.93 "
