MEDICARE PART B PHYSICIAN/SUPPLIER BESS DATA,,,,,
FOR CALENDAR YEAR 2007,,,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
31050,SG,,16,"$3,633.37 ","$2,906.69 "
,80'S,,1,$40.61 ,$32.49 
,OTHER,,114,"$38,273.61 ","$30,618.95 "
,TOTAL,,131,"$41,947.59 ","$33,558.13 "
31051,SG,,15,"$5,658.09 ","$4,488.51 "
,OTHER,,87,"$37,732.21 ","$30,185.74 "
,TOTAL,,102,"$43,390.30 ","$34,674.25 "
31070,SG,,22,"$5,737.30 ","$4,589.84 "
,OTHER,,233,"$60,261.88 ","$47,250.76 "
,TOTAL,,255,"$65,999.18 ","$51,840.60 "
31075,SG,,5,"$2,708.37 ","$2,166.70 "
,80'S,,6,$667.64 ,$534.10 
,OTHER,,88,"$55,264.19 ","$44,211.36 "
,TOTAL,,99,"$58,640.20 ","$46,912.16 "
31080,OTHER,,31,"$15,438.71 ","$11,901.73 "
,TOTAL,,31,"$15,438.71 ","$11,901.73 "
31081,SG,,1,$632.82 ,$506.26 
,80'S,,7,$748.56 ,$598.85 
,OTHER,,57,"$39,401.57 ","$31,521.28 "
,TOTAL,,65,"$40,782.95 ","$32,626.39 "
31084,80'S,,2,$230.90 ,$184.72 
,OTHER,,12,"$10,270.01 ","$8,216.00 "
,TOTAL,,14,"$10,500.91 ","$8,400.72 "
31085,SG,,1,$632.82 ,$506.26 
,80'S,,11,"$1,454.94 ","$1,091.55 "
,OTHER,,91,"$78,610.53 ","$61,957.04 "
,TOTAL,,103,"$80,698.29 ","$63,554.85 "
31086,SG,,1,$584.12 ,$467.30 
,80'S,,2,$377.63 ,$302.11 
,OTHER,,22,"$19,797.92 ","$14,608.69 "
,TOTAL,,25,"$20,759.67 ","$15,378.10 "
31087,SG,,2,$967.70 ,$774.16 
,80'S,,2,$225.96 ,$180.77 
,OTHER,,19,"$17,148.97 ","$13,719.18 "
,TOTAL,,23,"$18,342.63 ","$14,674.11 "
31090,SG,,69,"$42,575.04 ","$33,668.99 "
,OTHER,,279,"$291,102.22 ","$232,445.65 "
,TOTAL,,348,"$333,677.26 ","$266,114.64 "
3110F,OTHER,,1,$0.01 ,$0.01 
,TOTAL,,1,$0.01 ,$0.01 
3112F,OTHER,,2,$0.02 ,$0.02 
,TOTAL,,2,$0.02 ,$0.02 
31200,SG,,256,"$62,319.38 ","$49,855.21 "
,OTHER,,865,"$263,815.78 ","$208,153.64 "
,TOTAL,,"1,121","$326,135.16 ","$258,008.85 "
31201,SG,,44,"$28,951.62 ","$23,086.98 "
,OTHER,,235,"$159,631.21 ","$127,082.26 "
,TOTAL,,279,"$188,582.83 ","$150,169.24 "
31205,SG,,100,"$29,614.77 ","$23,691.87 "
,80'S,,30,"$3,417.63 ","$2,734.07 "
,OTHER,,459,"$310,389.64 ","$243,609.04 "
,TOTAL,,589,"$343,422.04 ","$270,034.98 "
31225,80'S,,62,"$15,276.62 ","$12,201.52 "
,OTHER,,783,"$1,208,803.22 ","$958,632.02 "
,TOTAL,,845,"$1,224,079.84 ","$970,833.54 "
31230,80'S,,1,$138.51 ,$110.81 
,OTHER,,44,"$71,597.44 ","$57,232.90 "
,TOTAL,,45,"$71,735.95 ","$57,343.71 "
31231,OTHER,,"301,315","$50,015,997.14 ","$38,544,448.97 "
,TOTAL,,"301,315","$50,015,997.14 ","$38,544,448.97 "
31233,SG,,16,$913.50 ,$730.81 
,OTHER,,"8,383","$2,178,881.02 ","$1,699,799.42 "
,TOTAL,,"8,399","$2,179,794.52 ","$1,700,530.23 "
31235,SG,,4,$983.06 ,$786.46 
,OTHER,,"2,479","$948,329.33 ","$749,771.64 "
,TOTAL,,"2,483","$949,312.39 ","$750,558.10 "
31237,SG,,"1,073","$404,823.42 ","$320,599.53 "
,OTHER,,"54,516","$17,901,641.43 ","$13,978,096.50 "
,TOTAL,,"55,589","$18,306,464.85 ","$14,298,696.03 "
31238,SG,,331,"$97,879.49 ","$77,143.26 "
,80'S,,1,$30.37 ,$24.30 
,OTHER,,"19,043","$5,680,789.35 ","$4,444,304.51 "
,TOTAL,,"19,375","$5,778,699.21 ","$4,521,472.07 "
31239,SG,,331,"$187,200.50 ","$148,905.53 "
,80'S,,17,"$1,629.98 ","$1,304.01 "
,OTHER,,807,"$482,023.97 ","$382,829.85 "
,TOTAL,,"1,155","$670,854.45 ","$533,039.39 "
31240,SG,,865,"$207,359.58 ","$164,870.45 "
,80'S,,3,$72.41 ,$57.92 
,OTHER,,"2,632","$244,970.76 ","$192,495.64 "
,TOTAL,,"3,500","$452,402.75 ","$357,424.01 "
31254,SG,,"1,920","$665,335.96 ","$525,179.29 "
,OTHER,,"5,728","$1,114,426.78 ","$875,698.56 "
,TOTAL,,"7,648","$1,779,762.74 ","$1,400,877.85 "
31255,SG,,"6,513","$4,206,283.55 ","$3,319,650.53 "
,OTHER,,"18,531","$7,025,301.05 ","$5,539,098.97 "
,TOTAL,,"25,044","$11,231,584.60 ","$8,858,749.50 "
31256,SG,,"3,612","$1,085,324.13 ","$856,871.80 "
,OTHER,,"10,083","$1,321,328.38 ","$1,043,173.99 "
,TOTAL,,"13,695","$2,406,652.51 ","$1,900,045.79 "
31267,SG,,"5,041","$1,538,936.12 ","$1,214,431.85 "
,OTHER,,"15,796","$3,597,417.89 ","$2,835,393.01 "
,TOTAL,,"20,837","$5,136,354.01 ","$4,049,824.86 "
31276,SG,,"3,076","$878,182.50 ","$695,156.25 "
,OTHER,,"9,875","$5,725,764.02 ","$4,519,680.10 "
,TOTAL,,"12,951","$6,603,946.52 ","$5,214,836.35 "
31287,SG,,"1,282","$365,818.54 ","$289,738.19 "
,OTHER,,"4,508","$677,473.95 ","$536,440.11 "
,TOTAL,,"5,790","$1,043,292.49 ","$826,178.30 "
31288,SG,,"1,452","$418,231.57 ","$330,757.60 "
,80'S,,1,$40.03 ,$32.02 
,OTHER,,"4,821","$878,522.57 ","$692,974.48 "
,TOTAL,,"6,274","$1,296,794.17 ","$1,023,764.10 "
31290,80'S,,4,$638.60 ,$510.88 
,OTHER,,130,"$132,613.12 ","$104,732.35 "
,TOTAL,,134,"$133,251.72 ","$105,243.23 "
31291,80'S,,2,$266.23 ,$212.98 
,OTHER,,104,"$117,783.54 ","$93,919.36 "
,TOTAL,,106,"$118,049.77 ","$94,132.34 "
31292,80'S,,1,$150.90 ,$120.72 
,OTHER,,104,"$100,856.06 ","$80,580.08 "
,TOTAL,,105,"$101,006.96 ","$80,700.80 "
31293,80'S,,2,$272.02 ,$217.62 
,OTHER,,67,"$71,482.25 ","$56,444.53 "
,TOTAL,,69,"$71,754.27 ","$56,662.15 "
31294,OTHER,,14,"$16,129.24 ","$12,884.06 "
,TOTAL,,14,"$16,129.24 ","$12,884.06 "
31299,80'S,,2,$82.43 ,$65.94 
,OTHER,,142,"$72,054.10 ","$57,509.01 "
,TOTAL,,144,"$72,136.53 ","$57,574.95 "
31300,SG,,6,"$3,929.52 ","$3,143.62 "
,80'S,,5,$898.74 ,$718.99 
,OTHER,,119,"$122,533.42 ","$98,000.72 "
,TOTAL,,130,"$127,361.68 ","$101,863.33 "
31320,SG,,2,$887.82 ,$710.25 
,OTHER,,7,"$3,920.38 ","$3,031.50 "
,TOTAL,,9,"$4,808.20 ","$3,741.75 "
31360,80'S,,102,"$26,664.21 ","$20,799.17 "
,OTHER,,590,"$919,876.93 ","$723,592.83 "
,TOTAL,,692,"$946,541.14 ","$744,392.00 "
31365,80'S,,60,"$19,561.74 ","$14,890.39 "
,OTHER,,395,"$807,776.51 ","$642,429.50 "
,TOTAL,,455,"$827,338.25 ","$657,319.89 "
31367,80'S,,5,"$1,334.55 ",$871.13 
,OTHER,,92,"$168,039.44 ","$128,588.55 "
,TOTAL,,97,"$169,373.99 ","$129,459.68 "
31368,80'S,,4,"$1,407.50 ","$1,126.00 "
,OTHER,,44,"$93,264.64 ","$74,498.14 "
,TOTAL,,48,"$94,672.14 ","$75,624.14 "
31370,80'S,,2,$547.60 ,$438.08 
,OTHER,,70,"$120,438.64 ","$94,985.14 "
,TOTAL,,72,"$120,986.24 ","$95,423.22 "
31375,80'S,,3,$788.84 ,$631.07 
,OTHER,,55,"$86,305.22 ","$67,845.49 "
,TOTAL,,58,"$87,094.06 ","$68,476.56 "
31380,80'S,,1,$275.38 ,$220.30 
,OTHER,,40,"$66,072.93 ","$50,754.24 "
,TOTAL,,41,"$66,348.31 ","$50,974.54 "
31382,80'S,,4,"$1,220.77 ",$976.62 
,OTHER,,61,"$102,681.90 ","$82,040.74 "
,TOTAL,,65,"$103,902.67 ","$83,017.36 "
31390,80'S,,3,"$1,166.65 ",$933.32 
,OTHER,,75,"$178,861.53 ","$143,055.61 "
,TOTAL,,78,"$180,028.18 ","$143,988.93 "
31395,80'S,,5,"$2,134.17 ","$1,707.33 "
,OTHER,,64,"$163,572.01 ","$130,595.09 "
,TOTAL,,69,"$165,706.18 ","$132,302.42 "
31400,80'S,,2,$157.15 ,$125.72 
,OTHER,,109,"$62,088.43 ","$49,481.71 "
,TOTAL,,111,"$62,245.58 ","$49,607.43 "
31420,SG,,2,$436.98 ,$349.58 
,80'S,,1,$112.80 ,$90.24 
,OTHER,,44,"$28,748.15 ","$22,998.58 "
,TOTAL,,47,"$29,297.93 ","$23,438.40 "
31500,OTHER,,"257,809","$27,243,979.87 ","$21,585,551.67 "
,TOTAL,,"257,809","$27,243,979.87 ","$21,585,551.67 "
31502,OTHER,,"16,972","$538,050.13 ","$420,267.06 "
,TOTAL,,"16,972","$538,050.13 ","$420,267.06 "
31505,OTHER,,"19,264","$1,378,635.33 ","$1,046,466.60 "
,TOTAL,,"19,264","$1,378,635.33 ","$1,046,466.60 "
31510,SG,,24,"$9,344.00 ","$7,475.20 "
,OTHER,,137,"$16,828.66 ","$13,150.19 "
,TOTAL,,161,"$26,172.66 ","$20,625.39 "
31511,OTHER,,194,"$30,730.89 ","$24,109.42 "
,TOTAL,,194,"$30,730.89 ","$24,109.42 "
31512,SG,,13,"$5,465.76 ","$4,372.63 "
,OTHER,,17,"$1,956.03 ","$1,460.03 "
,TOTAL,,30,"$7,421.79 ","$5,832.66 "
31513,SG,,5,$329.35 ,$263.47 
,OTHER,,627,"$74,072.27 ","$55,624.05 "
,TOTAL,,632,"$74,401.62 ","$55,887.52 "
31515,SG,,34,"$8,192.42 ","$6,456.84 "
,OTHER,,"1,346","$156,017.78 ","$121,266.46 "
,TOTAL,,"1,380","$164,210.20 ","$127,723.30 "
31520,OTHER,,14,"$1,688.76 ","$1,246.20 "
,TOTAL,,14,"$1,688.76 ","$1,246.20 "
31525,SG,,375,"$101,070.66 ","$80,218.21 "
,OTHER,,"11,546","$1,968,595.78 ","$1,548,917.03 "
,TOTAL,,"11,921","$2,069,666.44 ","$1,629,135.24 "
31526,SG,,264,"$109,383.66 ","$87,184.39 "
,OTHER,,"1,680","$211,495.65 ","$165,002.89 "
,TOTAL,,"1,944","$320,879.31 ","$252,187.28 "
31527,OTHER,,21,"$2,965.43 ","$2,372.35 "
,TOTAL,,21,"$2,965.43 ","$2,372.35 "
31528,SG,,27,"$11,273.02 ","$8,567.07 "
,OTHER,,209,"$22,530.67 ","$17,468.92 "
,TOTAL,,236,"$33,803.69 ","$26,035.99 "
31529,SG,,12,"$4,460.21 ","$3,568.17 "
,OTHER,,165,"$20,694.56 ","$16,021.56 "
,TOTAL,,177,"$25,154.77 ","$19,589.73 "
31530,SG,,10,"$3,947.72 ","$3,158.16 "
,OTHER,,307,"$56,907.62 ","$45,184.72 "
,TOTAL,,317,"$60,855.34 ","$48,342.88 "
31531,SG,,11,"$5,701.95 ","$4,561.56 "
,OTHER,,189,"$35,138.53 ","$27,666.82 "
