Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2005,,,,,
Code Ranges - 30000 - 32999,,,,,
,BESS REPORTS, CODE RANGES,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
_____,________,___________,________________,_______________,_______
,TOTAL,,"254,435","$42,870,015.48 ","$33,120,105.17 "
31233,SG,,16,"$4,758.35 ","$3,806.67 "
,OTHER,,"9,650","$2,569,058.48 ","$2,004,319.47 "
,TOTAL,,"9,666","$2,573,816.83 ","$2,008,126.14 "
31235,SG,,7,"$1,953.10 ","$1,562.49 "
,OTHER,,"2,441","$861,884.01 ","$679,129.50 "
,TOTAL,,"2,448","$863,837.11 ","$680,691.99 "
31237,SG,,945,"$373,508.32 ","$296,019.58 "
,OTHER,,"50,141","$17,379,408.84 ","$13,538,258.08 "
,TOTAL,,"51,086","$17,752,917.16 ","$13,834,277.66 "
31238,SG,,216,"$64,128.87 ","$49,943.19 "
,80'S,,1,$36.56 ,$29.25 
,OTHER,,"17,527","$5,513,354.90 ","$4,321,274.32 "
,TOTAL,,"17,744","$5,577,520.33 ","$4,371,246.76 "
31239,SG,,279,"$162,313.31 ","$128,691.13 "
,80'S,,2,$224.47 ,$179.58 
,OTHER,,823,"$512,979.19 ","$406,104.80 "
,TOTAL,,"1,104","$675,516.97 ","$534,975.51 "
31240,SG,,672,"$168,498.32 ","$132,052.61 "
,OTHER,,"2,290","$237,228.55 ","$186,345.73 "
,TOTAL,,"2,962","$405,726.87 ","$318,398.34 "
31254,SG,,"1,783","$646,985.18 ","$506,581.56 "
,OTHER,,"5,691","$1,247,819.57 ","$979,109.49 "
,TOTAL,,"7,474","$1,894,804.75 ","$1,485,691.05 "
31255,SG,,"5,780","$3,939,731.15 ","$3,103,397.03 "
,OTHER,,"19,171","$8,279,567.08 ","$6,515,456.69 "
,TOTAL,,"24,951","$12,219,298.23 ","$9,618,853.72 "
31256,SG,,"3,296","$1,025,591.32 ","$805,065.84 "
,OTHER,,"10,578","$1,534,826.16 ","$1,204,996.30 "
,TOTAL,,"13,874","$2,560,417.48 ","$2,010,062.14 "
31267,SG,,"4,408","$1,387,258.33 ","$1,095,345.34 "
,OTHER,,"15,492","$4,015,600.12 ","$3,158,189.45 "
,TOTAL,,"19,900","$5,402,858.45 ","$4,253,534.79 "
31276,SG,,"2,530","$740,934.11 ","$586,985.62 "
,OTHER,,"8,811","$5,742,745.10 ","$4,521,279.09 "
,TOTAL,,"11,341","$6,483,679.21 ","$5,108,264.71 "
31287,SG,,"1,096","$324,972.25 ","$257,041.23 "
,80'S,,2,$120.97 ,$96.78 
,OTHER,,"4,215","$697,715.25 ","$549,305.82 "
,TOTAL,,"5,313","$1,022,808.47 ","$806,443.83 "
31288,SG,,"1,175","$359,940.09 ","$284,886.02 "
,80'S,,3,$116.22 ,$92.97 
,OTHER,,"4,823","$979,850.15 ","$771,974.33 "
,TOTAL,,"6,001","$1,339,906.46 ","$1,056,953.32 "
31290,OTHER,,122,"$137,811.79 ","$107,964.00 "
,TOTAL,,122,"$137,811.79 ","$107,964.00 "
31291,80'S,,3,$568.75 ,$455.00 
,OTHER,,101,"$115,857.57 ","$92,686.06 "
,TOTAL,,104,"$116,426.32 ","$93,141.06 "
31292,OTHER,,97,"$101,071.69 ","$78,835.02 "
,TOTAL,,97,"$101,071.69 ","$78,835.02 "
31293,80'S,,1,$172.69 ,$138.15 
,OTHER,,63,"$73,914.04 ","$59,125.43 "
,TOTAL,,64,"$74,086.73 ","$59,263.58 "
31294,OTHER,,26,"$33,662.86 ","$26,842.31 "
,TOTAL,,26,"$33,662.86 ","$26,842.31 "
31299,OTHER,,134,"$43,291.86 ","$34,232.13 "
,TOTAL,,134,"$43,291.86 ","$34,232.13 "
31300,SG,,5,"$3,522.48 ","$2,817.99 "
,80'S,,7,"$1,332.47 ",$979.00 
,OTHER,,120,"$123,556.73 ","$96,276.95 "
,TOTAL,,132,"$128,411.68 ","$100,073.94 "
31320,SG,,7,"$3,204.05 ","$2,563.23 "
,OTHER,,13,"$7,849.76 ","$6,279.84 "
,TOTAL,,20,"$11,053.81 ","$8,843.07 "
31360,80'S,,150,"$30,779.08 ","$24,447.34 "
,OTHER,,656,"$804,793.68 ","$640,701.75 "
,TOTAL,,806,"$835,572.76 ","$665,149.09 "
31365,80'S,,74,"$19,951.54 ","$15,633.36 "
,OTHER,,454,"$759,151.14 ","$604,730.15 "
,TOTAL,,528,"$779,102.68 ","$620,363.51 "
31367,80'S,,5,"$1,522.52 ","$1,218.02 "
,OTHER,,76,"$122,275.79 ","$97,652.35 "
,TOTAL,,81,"$123,798.31 ","$98,870.37 "
31368,80'S,,9,"$2,875.53 ","$2,300.43 "
,OTHER,,61,"$123,190.95 ","$98,464.76 "
,TOTAL,,70,"$126,066.48 ","$100,765.19 "
31370,80'S,,1,$245.78 ,$196.62 
,OTHER,,64,"$108,454.36 ","$85,405.00 "
,TOTAL,,65,"$108,700.14 ","$85,601.62 "
31375,80'S,,2,$507.98 ,$406.39 
,OTHER,,45,"$59,691.38 ","$46,270.49 "
,TOTAL,,47,"$60,199.36 ","$46,676.88 "
31380,80'S,,3,$732.47 ,$585.97 
,OTHER,,32,"$49,200.18 ","$39,279.44 "
,TOTAL,,35,"$49,932.65 ","$39,865.41 "
31382,80'S,,6,"$1,641.41 ","$1,313.13 "
,OTHER,,63,"$100,352.35 ","$80,182.86 "
,TOTAL,,69,"$101,993.76 ","$81,495.99 "
31390,80'S,,7,"$1,852.66 ","$1,482.14 "
,OTHER,,96,"$184,354.52 ","$146,189.19 "
,TOTAL,,103,"$186,207.18 ","$147,671.33 "
31395,80'S,,3,"$1,108.67 ",$886.93 
,OTHER,,70,"$160,476.45 ","$128,364.03 "
,TOTAL,,73,"$161,585.12 ","$129,250.96 "
31400,SG,,1,$216.11 ,$172.89 
,80'S,,2,$156.79 ,$125.44 
,OTHER,,94,"$59,047.30 ","$46,835.97 "
,TOTAL,,97,"$59,420.20 ","$47,134.30 "
31420,SG,,1,$214.35 ,$146.96 
,80'S,,1,$121.20 ,$96.96 
,OTHER,,44,"$29,210.01 ","$23,264.44 "
,TOTAL,,46,"$29,545.56 ","$23,508.36 "
31500,OTHER,,"277,393","$31,919,867.73 ","$25,278,787.76 "
,TOTAL,,"277,393","$31,919,867.73 ","$25,278,787.76 "
31502,OTHER,,"17,444","$615,471.47 ","$480,743.57 "
,TOTAL,,"17,444","$615,471.47 ","$480,743.57 "
31505,OTHER,,"21,827","$1,625,921.49 ","$1,241,532.96 "
,TOTAL,,"21,827","$1,625,921.49 ","$1,241,532.96 "
31510,SG,,20,"$8,256.84 ","$6,605.48 "
,80'S,,2,$28.82 ,$23.06 
,OTHER,,154,"$18,310.43 ","$14,460.14 "
,TOTAL,,176,"$26,596.09 ","$21,088.68 "
31511,OTHER,,200,"$31,658.14 ","$24,870.44 "
,TOTAL,,200,"$31,658.14 ","$24,870.44 "
31512,SG,,6,"$2,192.20 ","$1,665.76 "
,80'S,,1,$17.84 ,$14.27 
,OTHER,,26,"$3,653.48 ","$2,922.77 "
,TOTAL,,33,"$5,863.52 ","$4,602.80 "
31513,SG,,17,"$6,825.77 ","$5,335.47 "
,OTHER,,935,"$121,464.40 ","$91,271.96 "
,TOTAL,,952,"$128,290.17 ","$96,607.43 "
31515,SG,,42,"$10,697.43 ","$8,471.80 "
,OTHER,,"1,696","$204,254.07 ","$159,467.80 "
,TOTAL,,"1,738","$214,951.50 ","$167,939.60 "
31520,OTHER,,22,"$2,926.85 ","$2,341.47 "
,TOTAL,,22,"$2,926.85 ","$2,341.47 "
31525,SG,,388,"$106,061.59 ","$83,592.95 "
,OTHER,,"12,145","$2,217,302.56 ","$1,735,746.80 "
,TOTAL,,"12,533","$2,323,364.15 ","$1,819,339.75 "
31526,SG,,163,"$63,999.05 ","$50,933.43 "
,OTHER,,"1,527","$220,272.67 ","$173,305.28 "
,TOTAL,,"1,690","$284,271.72 ","$224,238.71 "
31527,SG,,2,$484.54 ,$387.63 
,OTHER,,30,"$4,822.78 ","$3,747.38 "
,TOTAL,,32,"$5,307.32 ","$4,135.01 "
31528,SG,,12,"$5,287.27 ","$4,132.70 "
,OTHER,,209,"$25,663.64 ","$20,106.12 "
,TOTAL,,221,"$30,950.91 ","$24,238.82 "
31529,SG,,16,"$5,945.15 ","$4,756.11 "
,OTHER,,94,"$12,671.52 ","$9,884.36 "
,TOTAL,,110,"$18,616.67 ","$14,640.47 "
31530,SG,,13,"$5,116.69 ","$4,093.35 "
,OTHER,,361,"$74,696.33 ","$59,009.20 "
,TOTAL,,374,"$79,813.02 ","$63,102.55 "
31531,SG,,18,"$8,914.96 ","$6,720.72 "
,80'S,,1,$17.69 ,$14.15 
,OTHER,,159,"$33,132.86 ","$25,905.77 "
,TOTAL,,178,"$42,065.51 ","$32,640.64 "
31535,SG,,919,"$382,975.70 ","$300,855.02 "
,OTHER,,"8,594","$1,529,462.42 ","$1,205,309.55 "
,TOTAL,,"9,513","$1,912,438.12 ","$1,506,164.57 "
31536,SG,,"1,343","$658,197.65 ","$518,129.97 "
,OTHER,,"7,653","$1,635,439.73 ","$1,286,697.78 "
,TOTAL,,"8,996","$2,293,637.38 ","$1,804,827.75 "
31540,SG,,262,"$126,567.36 ","$98,684.63 "
,OTHER,,"1,105","$276,690.23 ","$217,711.57 "
,TOTAL,,"1,367","$403,257.59 ","$316,396.20 "
31541,SG,,"1,557","$957,738.63 ","$755,523.13 "
,OTHER,,"10,686","$2,991,156.62 ","$2,353,254.79 "
,TOTAL,,"12,243","$3,948,895.25 ","$3,108,777.92 "
31545,SG,,26,"$16,307.56 ","$13,046.03 "
,OTHER,,469,"$174,002.90 ","$137,644.80 "
,TOTAL,,495,"$190,310.46 ","$150,690.83 "
31546,SG,,1,$669.76 ,$535.81 
,OTHER,,30,"$17,328.48 ","$13,862.77 "
,TOTAL,,31,"$17,998.24 ","$14,398.58 "
31560,SG,,5,"$3,422.98 ","$1,973.91 "
,80'S,,2,$111.67 ,$89.34 
,OTHER,,27,"$8,590.93 ","$6,872.78 "
,TOTAL,,34,"$12,125.58 ","$8,936.03 "
31561,SG,,9,"$6,404.97 ","$5,123.96 "
,OTHER,,184,"$65,220.82 ","$51,134.58 "
,TOTAL,,193,"$71,625.79 ","$56,258.54 "
31570,SG,,62,"$24,920.11 ","$19,754.01 "
,OTHER,,"2,071","$622,085.04 ","$479,847.16 "
,TOTAL,,"2,133","$647,005.15 ","$499,601.17 "
31571,SG,,164,"$61,019.14 ","$47,793.37 "
,OTHER,,"1,621","$392,955.27 ","$308,497.49 "
,TOTAL,,"1,785","$453,974.41 ","$356,290.86 "
31575,OTHER,,"530,770","$59,474,403.73 ","$45,654,797.79 "
,TOTAL,,"530,770","$59,474,403.73 ","$45,654,797.79 "
31576,SG,,17,"$7,181.38 ","$5,637.94 "
