,,,Medicare Part B Physician/Supplier BESS Data,,
,,,For Calendar Year 2006,,
,,,Code Ranges 30000 - 32999,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
,OTHER,,"1,046","$197,906.62 ","$154,879.74 "
,TOTAL,,"1,052","$199,686.16 ","$156,303.36 "
30915,SG,,7,"$2,123.32 ","$1,698.66 "
,OTHER,,141,"$60,180.85 ","$47,738.75 "
,TOTAL,,148,"$62,304.17 ","$49,437.41 "
30920,SG,,5,"$1,561.09 ","$1,149.67 "
,OTHER,,155,"$105,457.49 ","$81,807.60 "
,TOTAL,,160,"$107,018.58 ","$82,957.27 "
30930,SG,,933,"$408,344.19 ","$324,313.51 "
,OTHER,,"2,638","$191,664.94 ","$151,573.42 "
,TOTAL,,"3,571","$600,009.13 ","$475,886.93 "
30999,80'S,,1,$34.20 ,$27.36 
,OTHER,,310,"$87,960.02 ","$70,055.93 "
,TOTAL,,311,"$87,994.22 ","$70,083.29 "
31000,OTHER,,"3,998","$606,194.62 ","$471,854.96 "
,TOTAL,,"3,998","$606,194.62 ","$471,854.96 "
31002,OTHER,,179,"$22,722.95 ","$17,710.35 "
,TOTAL,,179,"$22,722.95 ","$17,710.35 "
31020,SG,,90,"$27,013.39 ","$21,549.54 "
,OTHER,,433,"$95,514.29 ","$75,309.90 "
,TOTAL,,523,"$122,527.68 ","$96,859.44 "
31030,SG,,88,"$35,465.79 ","$27,977.68 "
,OTHER,,698,"$290,654.01 ","$228,604.24 "
,TOTAL,,786,"$326,119.80 ","$256,581.92 "
31032,SG,,64,"$35,515.91 ","$28,412.71 "
,OTHER,,406,"$197,457.77 ","$155,152.25 "
,TOTAL,,470,"$232,973.68 ","$183,564.96 "
31040,OTHER,,183,"$46,549.43 ","$36,839.59 "
,TOTAL,,183,"$46,549.43 ","$36,839.59 "
31050,SG,,20,"$5,358.73 ","$4,286.99 "
,OTHER,,126,"$41,294.17 ","$32,641.95 "
,TOTAL,,146,"$46,652.90 ","$36,928.94 "
31051,SG,,15,"$5,731.66 ","$4,585.33 "
,OTHER,,93,"$39,868.43 ","$31,398.08 "
,TOTAL,,108,"$45,600.09 ","$35,983.41 "
31070,SG,,30,"$7,413.10 ","$5,817.09 "
,OTHER,,232,"$66,956.30 ","$53,437.18 "
,TOTAL,,262,"$74,369.40 ","$59,254.27 "
31075,SG,,5,"$2,526.37 ","$2,021.10 "
,80'S,,7,$812.81 ,$561.25 
,OTHER,,90,"$58,198.37 ","$45,833.87 "
,TOTAL,,102,"$61,537.55 ","$48,416.22 "
31080,OTHER,,39,"$13,177.40 ","$10,454.82 "
,TOTAL,,39,"$13,177.40 ","$10,454.82 "
31081,80'S,,5,$577.50 ,$462.00 
,OTHER,,55,"$38,531.14 ","$30,774.62 "
,TOTAL,,60,"$39,108.64 ","$31,236.62 "
31084,SG,,1,$334.88 ,$267.90 
,80'S,,5,$689.19 ,$551.35 
,OTHER,,29,"$26,483.39 ","$20,481.76 "
,TOTAL,,35,"$27,507.46 ","$21,301.01 "
31085,SG,,1,$632.82 ,$506.26 
,80'S,,9,"$1,310.56 ","$1,048.45 "
,OTHER,,99,"$92,016.20 ","$73,612.94 "
,TOTAL,,109,"$93,959.58 ","$75,167.65 "
31086,80'S,,1,$183.67 ,$146.94 
,OTHER,,13,"$12,337.66 ","$9,870.13 "
,TOTAL,,14,"$12,521.33 ","$10,017.07 "
31087,80'S,,1,$196.58 ,$157.26 
,OTHER,,17,"$13,991.95 ","$11,193.56 "
,TOTAL,,18,"$14,188.53 ","$11,350.82 "
31090,SG,,116,"$70,634.61 ","$55,072.22 "
,OTHER,,323,"$331,913.34 ","$264,621.09 "
,TOTAL,,439,"$402,547.95 ","$319,693.31 "
31200,SG,,265,"$63,553.63 ","$50,462.84 "
,OTHER,,879,"$282,102.21 ","$223,351.64 "
,TOTAL,,"1,144","$345,655.84 ","$273,814.48 "
31201,SG,,41,"$30,521.35 ","$24,035.33 "
,OTHER,,219,"$160,424.86 ","$126,866.77 "
,TOTAL,,260,"$190,946.21 ","$150,902.10 "
31205,SG,,98,"$31,894.89 ","$25,375.04 "
,80'S,,46,"$5,457.57 ","$4,366.13 "
,OTHER,,458,"$326,226.99 ","$255,729.44 "
,TOTAL,,602,"$363,579.45 ","$285,470.61 "
31225,80'S,,63,"$13,795.17 ","$11,036.15 "
,OTHER,,752,"$1,048,134.02 ","$831,089.00 "
,TOTAL,,815,"$1,061,929.19 ","$842,125.15 "
31230,80'S,,3,$777.39 ,$621.91 
,OTHER,,64,"$89,054.83 ","$71,144.62 "
,TOTAL,,67,"$89,832.22 ","$71,766.53 "
31231,OTHER,,"274,959","$46,757,626.68 ","$36,011,357.42 "
,TOTAL,,"274,959","$46,757,626.68 ","$36,011,357.42 "
31233,SG,,22,"$7,791.31 ","$6,233.05 "
,OTHER,,"9,495","$2,566,530.39 ","$1,999,772.43 "
,TOTAL,,"9,517","$2,574,321.70 ","$2,006,005.48 "
31235,SG,,13,"$2,921.53 ","$2,337.24 "
,OTHER,,"2,602","$1,020,425.77 ","$809,525.53 "
,TOTAL,,"2,615","$1,023,347.30 ","$811,862.77 "
31237,SG,,"1,001","$388,827.84 ","$308,096.21 "
,OTHER,,"52,551","$18,212,299.72 ","$14,209,998.71 "
,TOTAL,,"53,552","$18,601,127.56 ","$14,518,094.92 "
31238,SG,,298,"$88,695.11 ","$70,066.96 "
,80'S,,2,$90.48 ,$72.39 
,OTHER,,"18,037","$5,703,344.13 ","$4,460,886.21 "
,TOTAL,,"18,337","$5,792,129.72 ","$4,531,025.56 "
31239,SG,,285,"$162,313.08 ","$128,945.86 "
,80'S,,4,$314.42 ,$251.53 
,OTHER,,763,"$480,236.67 ","$378,503.82 "
,TOTAL,,"1,052","$642,864.17 ","$507,701.21 "
31240,SG,,755,"$186,826.32 ","$145,720.37 "
,OTHER,,"2,406","$245,557.66 ","$193,573.90 "
,TOTAL,,"3,161","$432,383.98 ","$339,294.27 "
31254,SG,,"1,980","$690,889.00 ","$544,620.82 "
,OTHER,,"5,837","$1,249,895.96 ","$982,641.06 "
,TOTAL,,"7,817","$1,940,784.96 ","$1,527,261.88 "
31255,SG,,"6,161","$4,062,486.53 ","$3,199,801.48 "
,OTHER,,"18,701","$7,960,452.72 ","$6,266,625.11 "
,TOTAL,,"24,862","$12,022,939.25 ","$9,466,426.59 "
31256,SG,,"3,558","$1,084,461.88 ","$854,573.81 "
,OTHER,,"10,298","$1,479,298.62 ","$1,166,194.45 "
,TOTAL,,"13,856","$2,563,760.50 ","$2,020,768.26 "
31267,SG,,"4,798","$1,493,165.73 ","$1,180,451.29 "
,OTHER,,"15,769","$4,025,215.20 ","$3,166,826.35 "
,TOTAL,,"20,567","$5,518,380.93 ","$4,347,277.64 "
31276,SG,,"2,792","$812,456.24 ","$642,162.20 "
