Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2002,,,,,
Code Ranges 30000 - 32999,,,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
,TOTAL,,"55,350","$5,355,282","$4,249,034"
32420,OTHER,,223,"$23,659","$18,852"
,TOTAL,,223,"$23,659","$18,852"
32440,80'S,,398,"$92,716","$73,568"
,OTHER,,"1,528","$1,978,384","$1,572,933"
,TOTAL,,"1,926","$2,071,100","$1,646,501"
32442,80'S,,3,$810,$648
,OTHER,,15,"$20,095","$16,076"
,TOTAL,,18,"$20,905","$16,724"
32445,80'S,,18,"$4,440","$3,552"
,OTHER,,94,"$141,521","$113,217"
,TOTAL,,112,"$145,961","$116,769"
32480,80'S,,"4,243","$928,222","$736,918"
,OTHER,,"17,486","$21,355,421","$16,950,288"
,TOTAL,,"21,729","$22,283,642","$17,687,207"
32482,80'S,,378,"$86,267","$68,644"
,OTHER,,"1,477","$1,848,159","$1,468,587"
,TOTAL,,"1,855","$1,934,426","$1,537,231"
32484,80'S,,271,"$51,903","$41,353"
,OTHER,,"1,327","$1,476,740","$1,177,128"
,TOTAL,,"1,598","$1,528,643","$1,218,482"
32486,80'S,,28,"$6,330","$5,044"
,OTHER,,135,"$178,282","$141,549"
,TOTAL,,163,"$184,613","$146,593"
32488,80'S,,46,"$11,059","$8,847"
,OTHER,,184,"$249,987","$199,830"
,TOTAL,,230,"$261,046","$208,677"
32491,80'S,,4,$739,$591
,OTHER,,21,"$26,602","$21,281"
,TOTAL,,25,"$27,340","$21,872"
32500,80'S,,"1,761","$317,922","$253,108"
,OTHER,,"9,460","$9,698,169","$7,706,693"
,TOTAL,,"11,221","$10,016,091","$7,959,801"
32501,80'S,,40,"$1,603","$1,282"
,OTHER,,178,"$41,203","$32,794"
,TOTAL,,218,"$42,806","$34,076"
32520,80'S,,97,"$19,314","$15,238"
,OTHER,,465,"$508,423","$402,557"
,TOTAL,,562,"$527,737","$417,795"
32522,80'S,,24,"$5,387","$4,299"
,OTHER,,102,"$135,013","$107,930"
,TOTAL,,126,"$140,400","$112,229"
32525,80'S,,38,"$9,674","$7,739"
,OTHER,,231,"$325,428","$259,966"
,TOTAL,,269,"$335,102","$267,705"
32540,80'S,,29,"$3,684","$2,869"
,OTHER,,164,"$116,522","$93,196"
,TOTAL,,193,"$120,206","$96,065"
32601,80'S,,31,"$1,102",$881
,OTHER,,"1,669","$376,427","$299,214"
,TOTAL,,"1,700","$377,528","$300,096"
32602,80'S,,75,"$3,975","$3,180"
,OTHER,,"3,882","$1,299,258","$1,031,301"
,TOTAL,,"3,957","$1,303,233","$1,034,482"
32603,OTHER,,30,"$10,373","$8,182"
,TOTAL,,30,"$10,373","$8,182"
32604,80'S,,2,$83,$66
,OTHER,,26,"$10,057","$8,045"
,TOTAL,,28,"$10,140","$8,112"
32605,OTHER,,21,"$7,962","$6,369"
,TOTAL,,21,"$7,962","$6,369"
32606,80'S,,10,$713,$570
,OTHER,,560,"$128,535","$101,385"
,TOTAL,,570,"$129,248","$101,955"
32650,80'S,,583,"$60,100","$47,931"
,OTHER,,"6,270","$3,884,127","$3,092,691"
,TOTAL,,"6,853","$3,944,226","$3,140,622"
32651,80'S,,133,"$16,577","$13,181"
,OTHER,,970,"$705,025","$559,831"
,TOTAL,,"1,103","$721,602","$573,012"
32652,80'S,,129,"$24,354","$19,421"
,OTHER,,924,"$986,854","$783,370"
,TOTAL,,"1,053","$1,011,208","$802,791"
32653,80'S,,54,"$6,344","$5,076"
,OTHER,,471,"$351,617","$278,782"
,TOTAL,,525,"$357,961","$283,857"
32654,80'S,,8,$912,$730
,OTHER,,72,"$47,648","$36,838"
,TOTAL,,80,"$48,560","$37,567"
32655,80'S,,67,"$8,627","$6,852"
,OTHER,,543,"$398,661","$314,595"
,TOTAL,,610,"$407,288","$321,447"
32656,80'S,,96,"$12,582","$10,065"
,OTHER,,441,"$329,032","$262,503"
,TOTAL,,537,"$341,614","$272,568"
32657,80'S,,913,"$120,436","$96,101"
,OTHER,,"6,121","$4,797,954","$3,806,452"
,TOTAL,,"7,034","$4,918,389","$3,902,554"
32658,80'S,,5,$505,$404
,OTHER,,27,"$18,458","$14,759"
,TOTAL,,32,"$18,962","$15,162"
32659,80'S,,49,"$5,554","$4,443"
,OTHER,,416,"$278,499","$221,502"
,TOTAL,,465,"$284,053","$225,945"
32660,80'S,,1,$171,$137
,OTHER,,17,"$8,544","$6,818"
,TOTAL,,18,"$8,716","$6,955"
32661,80'S,,7,$822,$658
,OTHER,,30,"$19,798","$15,838"
,TOTAL,,37,"$20,620","$16,496"
32662,80'S,,35,"$5,578","$4,462"
,OTHER,,187,"$171,953","$137,562"
,TOTAL,,222,"$177,531","$142,025"
32663,80'S,,354,"$69,623","$55,306"
,OTHER,,887,"$989,883","$786,836"
,TOTAL,,"1,241","$1,059,506","$842,142"
32664,80'S,,17,"$2,211","$1,768"
,OTHER,,115,"$102,671","$80,959"
,TOTAL,,132,"$104,882","$82,727"
32665,80'S,,4,$555,$444
,OTHER,,27,"$19,694","$15,675"
,TOTAL,,31,"$20,249","$16,119"
32800,80'S,,13,"$1,471","$1,177"
,OTHER,,56,"$38,246","$30,364"
,TOTAL,,69,"$39,718","$31,541"
32810,80'S,,3,$319,$255
,OTHER,,50,"$36,884","$28,910"
,TOTAL,,53,"$37,203","$29,165"
32815,80'S,,28,"$6,055","$4,806"
,OTHER,,214,"$229,478","$182,177"
,TOTAL,,242,"$235,533","$186,984"
32820,80'S,,5,$997,$790
,OTHER,,35,"$41,130","$32,856"
,TOTAL,,40,"$42,127","$33,645"
32851,80'S,,29,"$10,677","$8,490"
,OTHER,,127,"$278,097","$218,566"
,TOTAL,,156,"$288,773","$227,055"
32852,80'S,,2,$816,$653
,OTHER,,16,"$34,572","$25,674"
,TOTAL,,18,"$35,388","$26,327"
32853,80'S,,24,"$11,804","$9,443"
,OTHER,,82,"$212,970","$168,319"
,TOTAL,,106,"$224,774","$177,763"
32854,80'S,,30,"$14,078","$10,869"
,OTHER,,50,"$133,866","$103,390"
,TOTAL,,80,"$147,945","$114,258"
32900,80'S,,53,"$7,820","$6,256"
,OTHER,,246,"$236,126","$186,506"
,TOTAL,,299,"$243,945","$192,762"
32905,80'S,,15,"$2,582","$2,066"
,OTHER,,66,"$59,883","$47,907"
,TOTAL,,81,"$62,465","$49,972"
32906,80'S,,7,"$1,822","$1,458"
,OTHER,,53,"$73,364","$58,582"
,TOTAL,,60,"$75,186","$60,040"
32940,80'S,,5,$594,$476
,OTHER,,34,"$28,210","$22,568"
,TOTAL,,39,"$28,804","$23,043"
32960,OTHER,,60,"$5,124","$4,077"
,TOTAL,,60,"$5,124","$4,077"
32997,OTHER,,75,"$17,198","$13,759"
,TOTAL,,75,"$17,198","$13,759"
32999,80'S,,5,$570,$456
,OTHER,,480,"$203,201","$162,445"
,TOTAL,,485,"$203,771","$162,901"
,,,,,
