Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2001,,,,,
Code Ranges 30000 - 32999,,,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
,OTHER,,357,"$177,732","$141,069"
,TOTAL,,394,"$180,600","$143,309"
32405,SG,,11,"$3,525","$2,820"
,OTHER,,"53,153","$6,223,465","$4,936,889"
,TOTAL,,"53,164","$6,226,990","$4,939,709"
32420,SG,,1,$316,$253
,OTHER,,262,"$31,204","$24,832"
,TOTAL,,263,"$31,520","$25,084"
32440,80'S,,405,"$96,298","$76,510"
,OTHER,,"1,578","$2,101,288","$1,672,614"
,TOTAL,,"1,983","$2,197,586","$1,749,124"
32442,80'S,,5,"$1,497","$1,198"
,OTHER,,12,"$20,235","$16,188"
,TOTAL,,17,"$21,732","$17,386"
32445,80'S,,20,"$5,853","$4,683"
,OTHER,,107,"$178,669","$142,855"
,TOTAL,,127,"$184,522","$147,537"
32480,80'S,,"4,249","$890,039","$708,075"
,OTHER,,"16,506","$19,591,787","$15,558,697"
,TOTAL,,"20,755","$20,481,826","$16,266,772"
32482,80'S,,388,"$85,570","$67,917"
,OTHER,,"1,453","$1,781,336","$1,415,728"
,TOTAL,,"1,841","$1,866,906","$1,483,645"
32484,80'S,,291,"$66,558","$52,613"
,OTHER,,"1,273","$1,749,136","$1,388,771"
,TOTAL,,"1,564","$1,815,694","$1,441,385"
32486,80'S,,23,"$5,847","$4,677"
,OTHER,,124,"$185,423","$146,942"
,TOTAL,,147,"$191,269","$151,619"
32488,80'S,,40,"$11,018","$8,663"
,OTHER,,164,"$265,284","$210,303"
,TOTAL,,204,"$276,302","$218,966"
32491,80'S,,4,$995,$796
,OTHER,,35,"$55,544","$44,435"
,TOTAL,,39,"$56,539","$45,231"
32500,80'S,,"1,551","$239,684","$190,802"
,OTHER,,"8,484","$7,521,756","$5,968,542"
,TOTAL,,"10,035","$7,761,440","$6,159,344"
32501,80'S,,27,"$1,254","$1,004"
,OTHER,,187,"$52,406","$41,845"
,TOTAL,,214,"$53,660","$42,848"
32520,80'S,,114,"$27,639","$22,111"
,OTHER,,444,"$648,557","$515,793"
,TOTAL,,558,"$676,195","$537,904"
32522,80'S,,21,"$5,952","$4,762"
,OTHER,,86,"$133,737","$105,608"
,TOTAL,,107,"$139,689","$110,369"
32525,80'S,,52,"$15,084","$11,815"
,OTHER,,216,"$375,402","$297,482"
,TOTAL,,268,"$390,486","$309,297"
32540,80'S,,39,"$5,575","$4,364"
,OTHER,,195,"$174,381","$138,340"
,TOTAL,,234,"$179,956","$142,704"
32601,80'S,,24,"$1,038",$831
,OTHER,,"1,396","$358,511","$283,712"
,TOTAL,,"1,420","$359,549","$284,543"
32602,80'S,,82,"$5,371","$4,297"
,OTHER,,"3,732","$1,442,507","$1,145,283"
,TOTAL,,"3,814","$1,447,878","$1,149,580"
32603,OTHER,,12,"$4,237","$3,390"
,TOTAL,,12,"$4,237","$3,390"
32604,80'S,,2,$143,$115
,OTHER,,32,"$15,236","$12,189"
,TOTAL,,34,"$15,379","$12,303"
32605,80'S,,1,$40,$32
,OTHER,,32,"$12,782","$10,226"
,TOTAL,,33,"$12,822","$10,258"
32606,80'S,,6,$549,$439
,OTHER,,250,"$121,552","$96,600"
,TOTAL,,256,"$122,101","$97,039"
32650,80'S,,474,"$56,574","$45,014"
,OTHER,,"5,250","$3,754,277","$2,992,135"
,TOTAL,,"5,724","$3,810,851","$3,037,149"
32651,80'S,,110,"$15,636","$12,503"
,OTHER,,812,"$690,657","$547,354"
,TOTAL,,922,"$706,292","$559,857"
32652,80'S,,98,"$21,996","$17,597"
,OTHER,,706,"$887,396","$705,621"
,TOTAL,,804,"$909,392","$723,218"
32653,80'S,,45,"$6,717","$5,360"
,OTHER,,339,"$297,814","$237,639"
,TOTAL,,384,"$304,531","$242,999"
32654,80'S,,7,$927,$742
,OTHER,,41,"$32,898","$26,293"
,TOTAL,,48,"$33,825","$27,034"
32655,80'S,,89,"$13,010","$10,408"
,OTHER,,554,"$479,598","$381,354"
,TOTAL,,643,"$492,607","$391,762"
32656,80'S,,99,"$16,198","$12,841"
,OTHER,,436,"$393,901","$314,144"
,TOTAL,,535,"$410,099","$326,984"
32657,80'S,,780,"$123,574","$98,283"
,OTHER,,"5,388","$5,047,499","$4,007,409"
,TOTAL,,"6,168","$5,171,073","$4,105,692"
32658,80'S,,5,$909,$727
,OTHER,,26,"$19,654","$15,723"
,TOTAL,,31,"$20,562","$16,450"
32659,80'S,,52,"$6,836","$5,407"
,OTHER,,350,"$275,792","$219,488"
,TOTAL,,402,"$282,628","$224,895"
32660,80'S,,1,$218,$175
,OTHER,,12,"$6,909","$5,523"
,TOTAL,,13,"$7,127","$5,698"
32661,80'S,,5,$703,$562
,OTHER,,31,"$25,856","$20,685"
,TOTAL,,36,"$26,559","$21,247"
32662,80'S,,27,"$5,211","$4,169"
,OTHER,,168,"$179,105","$141,840"
,TOTAL,,195,"$184,316","$146,008"
32663,80'S,,321,"$75,934","$60,492"
,OTHER,,831,"$1,104,645","$880,590"
,TOTAL,,"1,152","$1,180,580","$941,083"
32664,80'S,,9,"$1,492","$1,194"
,OTHER,,75,"$72,572","$57,271"
,TOTAL,,84,"$74,064","$58,464"
32665,80'S,,5,$895,$716
,OTHER,,21,"$19,715","$15,772"
,TOTAL,,26,"$20,610","$16,488"
32800,80'S,,7,$993,$794
,OTHER,,39,"$29,875","$23,859"
,TOTAL,,46,"$30,867","$24,653"
32810,80'S,,2,$222,$177
,OTHER,,48,"$39,435","$31,548"
,TOTAL,,50,"$39,657","$31,726"
32815,80'S,,24,"$5,999","$4,799"
,OTHER,,169,"$223,044","$177,579"
,TOTAL,,193,"$229,043","$182,378"
32820,80'S,,6,"$1,457","$1,165"
,OTHER,,60,"$50,921","$40,737"
,TOTAL,,66,"$52,377","$41,902"
32850,OTHER,,1,"$2,431","$1,944"
,TOTAL,,1,"$2,431","$1,944"
32851,80'S,,20,"$8,764","$7,011"
,OTHER,,144,"$374,484","$296,566"
,TOTAL,,164,"$383,248","$303,577"
32852,80'S,,2,"$1,035",$828
,OTHER,,16,"$39,729","$30,177"
,TOTAL,,18,"$40,764","$31,005"
32853,80'S,,28,"$13,640","$10,529"
,OTHER,,70,"$213,218","$166,020"
,TOTAL,,98,"$226,858","$176,549"
32854,80'S,,17,"$9,818","$7,854"
,OTHER,,39,"$127,954","$99,937"
,TOTAL,,56,"$137,772","$107,791"
32900,80'S,,29,"$5,851","$4,631"
,OTHER,,202,"$222,997","$178,245"
,TOTAL,,231,"$228,848","$182,876"
32905,80'S,,12,"$2,395","$1,820"
,OTHER,,50,"$54,104","$41,557"
,TOTAL,,62,"$56,499","$43,377"
32906,80'S,,7,"$2,096","$1,677"
,OTHER,,42,"$56,107","$44,886"
,TOTAL,,49,"$58,203","$46,562"
32940,80'S,,15,"$1,698","$1,358"
,OTHER,,32,"$36,737","$29,389"
,TOTAL,,47,"$38,435","$30,748"
32960,OTHER,,58,"$5,533","$4,259"
,TOTAL,,58,"$5,533","$4,259"
32997,OTHER,,83,"$25,810","$20,648"
,TOTAL,,83,"$25,810","$20,648"
32999,80'S,,4,$690,$552
,OTHER,,363,"$193,772","$154,783"
,TOTAL,,367,"$194,462","$155,335"
,,,,,
