CPT only copyright 2009 American Medical Association. All rights reserved.,,,,,,
,,,,,,
"Part B National Summary Data File
Code Range: 02) Surgery (10000 - 69999)",,,,,,
,,,,,,
DESCRIPTION,HCPCS,MODIFIER,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT,
,33284,TOTAL,"2,773","$531,975.44","$417,284.30",
,,80S,0,$0.00,$0.00,
,,OTHER,"2,773","$531,975.44","$417,284.30",
,33300,TOTAL,267,"$450,171.51","$358,499.81",
,,80S,60,"$19,679.30","$15,728.40",
,,OTHER,207,"$430,492.21","$342,771.41",
,33305,TOTAL,315,"$789,434.46","$628,443.21",
,,80S,107,"$57,178.53","$45,390.65",
,,OTHER,208,"$732,255.93","$583,052.56",
,33310,TOTAL,88,"$65,266.86","$51,342.47",
,,80S,15,"$2,311.07","$1,848.85",
,,OTHER,73,"$62,955.79","$49,493.62",
,33315,TOTAL,427,"$294,049.02","$233,693.30",
,,80S,132,"$19,195.03","$15,356.16",
,,OTHER,295,"$274,853.99","$218,337.14",
,33320,TOTAL,188,"$117,802.10","$94,059.79",
,,80S,50,"$5,581.01","$4,450.55",
,,OTHER,138,"$112,221.09","$89,609.24",
,33321,TOTAL,15,"$6,193.79","$4,955.05",
,,80S,N/A,$466.04,$372.84,
,,OTHER,N/A,"$5,727.75","$4,582.21",
,33322,TOTAL,294,"$152,623.59","$121,443.89",
,,80S,119,"$13,423.23","$10,738.45",
,,OTHER,175,"$139,200.36","$110,705.44",
,33330,TOTAL,52,"$41,081.33","$31,916.16",
,,80S,15,"$2,091.05","$1,554.00",
,,OTHER,37,"$38,990.28","$30,362.16",
,33332,TOTAL,N/A,"$3,727.03","$2,981.62",
,,80S,N/A,$450.02,$360.02,
,,OTHER,N/A,"$3,277.01","$2,621.60",
,33335,TOTAL,140,"$111,781.19","$88,886.43",
,,80S,54,"$9,452.27","$7,561.85",
,,OTHER,86,"$102,328.92","$81,324.58",
,33400,TOTAL,403,"$422,484.37","$336,121.95",
,,80S,150,"$36,444.83","$29,155.90",
,,OTHER,253,"$386,039.54","$306,966.05",
,33401,TOTAL,N/A,"$6,692.65","$5,354.12",
,,80S,N/A,$112.07,$89.66,
,,OTHER,N/A,"$6,580.58","$5,264.46",
,33403,TOTAL,12,"$8,151.28","$6,521.02",
,,80S,N/A,$339.49,$271.59,
,,OTHER,N/A,"$7,811.79","$6,249.43",
,33404,TOTAL,135,"$154,057.06","$123,245.57",
,,80S,44,"$11,016.41","$8,813.10",
,,OTHER,91,"$143,040.65","$114,432.47",
,33405,TOTAL,"51,683","$71,058,385.74","$56,526,606.42",
,,80S,"20,316","$6,155,851.95","$4,904,663.35",
,,OTHER,"31,367","$64,902,533.79","$51,621,943.07",
,33406,TOTAL,934,"$1,636,602.77","$1,307,095.80",
,,80S,380,"$152,486.52","$121,464.29",
,,OTHER,554,"$1,484,116.25","$1,185,631.51",
,33410,TOTAL,"2,073","$3,200,207.44","$2,544,210.38",
,,80S,803,"$266,805.12","$211,895.22",
,,OTHER,"1,270","$2,933,402.32","$2,332,315.16",
,33411,TOTAL,"1,471","$2,982,126.96","$2,376,524.08",
,,80S,621,"$301,437.80","$240,700.14",
,,OTHER,850,"$2,680,689.16","$2,135,823.94",
,33412,TOTAL,54,"$79,700.85","$61,909.02",
