Medicare Part Physician/Supplier BESS Data,,,,,
For Calendar Year 2000,,,,,
Code Ranges 30000 - 32999,,,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
31090,SG,,76,"$49,129","$38,356"
,OTHER,,661,"$523,935","$413,588"
,TOTAL,,737,"$573,064","$451,945"
31200,SG,,238,"$55,114","$44,075"
,80'S,,1,$29,$23
,OTHER,,874,"$206,290","$163,823"
,TOTAL,,"1,113","$261,433","$207,920"
31201,SG,,51,"$36,284","$28,380"
,OTHER,,352,"$211,664","$166,385"
,TOTAL,,403,"$247,948","$194,765"
31205,SG,,29,"$8,476","$6,781"
,80'S,,26,"$2,325","$1,860"
,OTHER,,431,"$231,178","$184,198"
,TOTAL,,486,"$241,980","$192,839"
31225,80'S,,91,"$19,628","$15,542"
,OTHER,,701,"$934,618","$742,189"
,TOTAL,,792,"$954,246","$757,731"
31230,80'S,,7,"$1,606","$1,285"
,OTHER,,73,"$91,809","$73,447"
,TOTAL,,80,"$93,415","$74,732"
31231,80'S,,1,$7,$6
,OTHER,,"135,493","$13,469,510","$10,199,491"
,TOTAL,,"135,494","$13,469,517","$10,199,497"
31233,SG,,18,"$5,006","$4,004"
,OTHER,,"4,530","$867,154","$671,342"
,TOTAL,,"4,548","$872,160","$675,346"
31235,SG,,6,$995,$742
,OTHER,,"1,280","$286,374","$226,167"
,TOTAL,,"1,286","$287,370","$226,909"
31237,SG,,357,"$152,036","$119,533"
,OTHER,,"31,222","$7,444,539","$5,825,049"
,TOTAL,,"31,579","$7,596,575","$5,944,582"
31238,SG,,85,"$25,116","$19,723"
,OTHER,,"9,197","$2,257,605","$1,769,439"
,TOTAL,,"9,282","$2,282,721","$1,789,161"
31239,SG,,126,"$70,914","$56,632"
,80'S,,10,$932,$746
,OTHER,,745,"$457,397","$362,916"
,TOTAL,,881,"$529,243","$420,294"
31240,SG,,239,"$61,409","$48,415"
,80'S,,1,$16,$13
,OTHER,,"2,118","$245,039","$193,025"
,TOTAL,,"2,358","$306,464","$241,453"
31254,SG,,670,"$257,087","$203,683"
,OTHER,,"5,875","$1,655,461","$1,302,324"
,TOTAL,,"6,545","$1,912,549","$1,506,007"
31255,SG,,"2,116","$1,493,444","$1,183,420"
,80'S,,1,$44,$36
,OTHER,,"17,037","$8,630,982","$6,820,390"
,TOTAL,,"19,154","$10,124,471","$8,003,845"
31256,SG,,"1,404","$433,165","$340,352"
,OTHER,,"11,518","$1,842,973","$1,454,179"
,TOTAL,,"12,922","$2,276,138","$1,794,531"
31267,SG,,"1,182","$381,222","$301,375"
,80'S,,2,$128,$103
,OTHER,,"11,706","$3,242,278","$2,560,381"
,TOTAL,,"12,890","$3,623,628","$2,861,858"
31276,SG,,703,"$220,478","$174,889"
,80'S,,1,$101,$81
,OTHER,,"6,463","$3,905,350","$3,086,758"
,TOTAL,,"7,167","$4,125,930","$3,261,728"
31287,SG,,318,"$92,239","$72,961"
,80'S,,1,$42,$34
,OTHER,,"3,617","$667,577","$527,132"
,TOTAL,,"3,936","$759,858","$600,127"
31288,SG,,349,"$109,954","$87,942"
,80'S,,5,$181,$145
,OTHER,,"3,591","$802,509","$634,395"
,TOTAL,,"3,945","$912,644","$722,483"
31290,80'S,,1,$181,$145
,OTHER,,101,"$113,391","$89,393"
,TOTAL,,102,"$113,572","$89,538"
31291,80'S,,2,$390,$312
,OTHER,,51,"$61,400","$49,040"
,TOTAL,,53,"$61,791","$49,353"
31292,80'S,,2,$309,$247
,OTHER,,67,"$63,875","$51,100"
,TOTAL,,69,"$64,183","$51,347"
31293,80'S,,5,$876,$701
,OTHER,,61,"$70,904","$56,643"
,TOTAL,,66,"$71,780","$57,344"
31294,80'S,,1,$151,$121
,OTHER,,10,"$14,546","$11,637"
,TOTAL,,11,"$14,697","$11,757"
31299,OTHER,,79,"$37,422","$29,938"
,TOTAL,,79,"$37,422","$29,938"
31300,SG,,11,"$7,134","$5,707"
,80'S,,13,"$2,084","$1,587"
,OTHER,,183,"$150,938","$119,987"
,TOTAL,,207,"$160,156","$127,282"
31320,OTHER,,19,"$8,159","$6,482"
,TOTAL,,19,"$8,159","$6,482"
31360,80'S,,201,"$41,580","$33,131"
,OTHER,,748,"$944,706","$749,734"
,TOTAL,,949,"$986,287","$782,865"
31365,80'S,,140,"$40,490","$32,220"
,OTHER,,626,"$1,104,454","$879,177"
,TOTAL,,766,"$1,144,944","$911,398"
31367,80'S,,11,"$2,686","$1,987"
,OTHER,,89,"$128,282","$101,854"
,TOTAL,,100,"$130,967","$103,840"
31368,80'S,,17,"$5,539","$4,432"
,OTHER,,98,"$195,988","$156,566"
,TOTAL,,115,"$201,527","$160,998"
31370,80'S,,16,"$3,746","$2,874"
,OTHER,,55,"$81,396","$64,258"
,TOTAL,,71,"$85,142","$67,132"
31375,80'S,,4,$884,$707
,OTHER,,56,"$66,466","$53,000"
,TOTAL,,60,"$67,351","$53,707"
31380,80'S,,3,$706,$565
,OTHER,,39,"$50,489","$39,379"
,TOTAL,,42,"$51,194","$39,944"
31382,80'S,,6,"$1,469","$1,175"
,OTHER,,62,"$91,072","$72,856"
,TOTAL,,68,"$92,541","$74,031"
31390,80'S,,14,"$4,511","$3,609"
,OTHER,,107,"$210,557","$168,382"
,TOTAL,,121,"$215,068","$171,991"
31395,80'S,,14,"$5,451","$4,360"
,OTHER,,95,"$230,802","$184,561"
,TOTAL,,109,"$236,252","$188,922"
31400,80'S,,5,$390,$312
,OTHER,,88,"$45,783","$36,480"
,TOTAL,,93,"$46,173","$36,792"
31420,80'S,,3,$354,$283
,OTHER,,41,"$29,009","$23,207"
,TOTAL,,44,"$29,363","$23,490"
31500,OTHER,,"242,182","$28,068,041","$22,198,890"
,TOTAL,,"242,182","$28,068,041","$22,198,890"
31502,80'S,,1,$7,$6
,OTHER,,"14,863","$681,398","$531,820"
,TOTAL,,"14,864","$681,405","$531,825"
31505,SG,,3,$975,$780
,80'S,,1,$3,$2
,OTHER,,"24,358","$1,331,812","$999,979"
,TOTAL,,"24,362","$1,332,790","$1,000,761"
31510,SG,,22,"$7,839","$6,252"
,OTHER,,159,"$14,116","$10,670"
,TOTAL,,181,"$21,955","$16,922"
31511,SG,,2,$895,$716
,OTHER,,268,"$34,309","$26,362"
,TOTAL,,270,"$35,205","$27,078"
31512,SG,,12,"$4,678","$3,451"
,OTHER,,57,"$5,959","$4,691"
,TOTAL,,69,"$10,637","$8,142"
31513,SG,,10,"$4,225","$3,380"
,OTHER,,534,"$73,694","$56,157"
,TOTAL,,544,"$77,919","$59,537"
31515,SG,,49,"$11,823","$9,151"
,80'S,,1,$17,$13
,OTHER,,"1,766","$175,093","$135,532"
,TOTAL,,"1,816","$186,933","$144,697"
31520,OTHER,,40,"$4,989","$3,814"
,TOTAL,,40,"$4,989","$3,814"
31525,SG,,192,"$45,243","$35,998"
,80'S,,1,$21,$17
,OTHER,,"13,357","$2,077,352","$1,631,984"
,TOTAL,,"13,550","$2,122,615","$1,667,999"
31526,SG,,106,"$39,193","$31,302"
,OTHER,,"1,627","$263,737","$207,490"
,TOTAL,,"1,733","$302,930","$238,792"
31527,OTHER,,33,"$5,184","$4,128"
,TOTAL,,33,"$5,184","$4,128"
31528,SG,,6,"$2,429","$1,943"
,OTHER,,182,"$25,925","$19,871"
,TOTAL,,188,"$28,354","$21,815"
